5.61667 0 5.51861 0
5.31473 0.301941 6.216 0.697388
4.83726 0.508296 5.60605 0.730858
4.707 0.382298 5.16205 0.681331
4.78691 0.306719 5.21179 0.530095
4.85139 0.258604 5.4791 0.508713
4.70001 0.265867 5.35554 0.447345
4.66712 0.232584 5.20477 0.415713
4.63775 0.207213 5.27116 0.372587
4.64898 0.185677 5.32794 0.338054
4.77607 0.210622 5.3063 0.306546
4.83438 0.200916 5.41052 0.298614
4.92391 0.205362 5.42063 0.274871
4.93733 0.1906 5.34064 0.266758
4.95745 0.178577 5.27663 0.256455
4.96896 0.167439 5.40703 0.273044
5.03439 0.170349 5.33449 0.266541
5.05797 0.162329 5.35743 0.252343
5.10229 0.159815 5.37007 0.239026
5.14707 0.158089 5.34875 0.22776
5.15973 0.150904 5.37413 0.218124
5.25285 0.17139 5.40927 0.21092
5.23109 0.165209 5.46542 0.209216
5.25008 0.159311 5.47097 0.200386
5.30667 0.162949 5.4204 0.198745
5.31766 0.156941 5.44963 0.193171
5.34834 0.154102 5.4267 0.187287
5.36766 0.149748 5.4947 0.19286
5.37899 0.144936 5.44463 0.19271
5.33756 0.146023 5.46273 0.187053
5.32104 0.142196 5.45987 0.180941
5.29318 0.140472 5.44027 0.176289
5.31273 0.137544 5.43686 0.170897
5.32709 0.134208 5.43406 0.165818
5.34409 0.131421 5.4293 0.161081
5.37372 0.131111 5.44287 0.15713
5.38683 0.12819 5.44353 0.152825
5.41457 0.127818 5.42385 0.150045
5.46471 0.134216 5.46993 0.153237
5.48381 0.132205 5.47748 0.149548
5.47075 0.129601 5.48103 0.145898
5.46505 0.126606 5.45074 0.145567
5.48694 0.12555 5.46318 0.142685
5.47155 0.123624 5.41861 0.146357
5.46272 0.121168 5.44643 0.145746
5.46172 0.118509 5.46748 0.144089
5.47465 0.116679 5.42062 0.148574
5.4995 0.116894 5.39082 0.148468
5.4724 0.117648 5.38525 0.145513
5.47219 0.115271 5.41144 0.144957
5.47743 0.11311 5.39925 0.142608
5.52569 0.120959 5.38258 0.140829
5.53677 0.119171 5.39841 0.13905
5.53314 0.116999 5.41128 0.137057
5.5403 0.115075 5.42197 0.134966
5.54074 0.113002 5.42829 0.132684
5.57488 0.116132 5.43841 0.130728
5.58527 0.114584 5.44774 0.128792
5.58208 0.112671 5.44943 0.126602
5.57932 0.110811 5.45129 0.124488
5.56887 0.10948 5.43775 0.123177
5.55066 0.109228 5.41813 0.122752
5.55024 0.107481 5.4314 0.121515
5.55195 0.105802 5.42144 0.120015
5.52727 0.107045 5.41504 0.118328
5.53374 0.105609 5.41801 0.116559
5.51024 0.106642 5.38896 0.118423
5.50279 0.105326 5.39492 0.11682
5.49823 0.103888 5.39272 0.115135
5.50923 0.102983 5.40361 0.114
5.48693 0.103944 5.39764 0.112541
5.49607 0.102897 5.38553 0.111626
5.50034 0.101567 5.39679 0.110661
5.50169 0.100194 5.40856 0.109787
5.49725 0.0989494 5.41497 0.108503
5.5101 0.0984805 5.40417 0.107609
5.4986 0.0978714 5.40772 0.106261
5.50144 0.0966504 5.42986 0.107202
5.48394 0.0970108 5.44007 0.106328
5.47351 0.0963566 5.44306 0.105033
5.46212 0.0958389 5.4324 0.104275
5.46557 0.0947257 5.42199 0.10352
5.47781 0.094375 5.43352 0.102914
5.50253 0.0964658 5.42866 0.101798
5.47356 0.0996303 5.43475 0.100777
5.47699 0.0985247 5.42561 0.100016
5.46508 0.0981109 5.43054 0.0989827
5.47677 0.0976915 5.42426 0.0980526
5.4677 0.0970128 5.41439 0.0974462
5.45799 0.096419 5.40002 0.0974221
5.45556 0.0953843 5.40355 0.09641
5.44733 0.0947009 5.40427 0.095359
5.44921 0.093696 5.41283 0.0947164
5.45531 0.0928945 5.40767 0.0938454
5.45231 0.0919603 5.41516 0.0931539
5.45649 0.0910932 5.41183 0.0922385
5.44845 0.0905073 5.40391 0.0916258
5.46693 0.0914647 5.41998 0.0920993
5.46118 0.0907184 5.44962 0.0958595
5.44741 0.0908553 5.44461 0.0950282
