1     17.8539     17.8539           0
2     57.2499     37.5519      19.698
3      84.385     53.1629     19.3143
4     89.9725     62.3653     16.4683
5      99.289       69.75     14.7396
6     83.3778     72.0213     12.2473
7     10.5693     63.2425     13.5724
8     74.9011     64.6998      11.844
9     53.4822     63.4534     10.5195
10     46.6072     61.7688     9.55858
11     94.5218     64.7463      9.1444
12      78.955     65.9304     8.43122
13     60.4021     65.5051     7.76724
14     60.1162     65.1202     7.20136
15     68.3584     65.3361     6.70758
16     46.4469     64.1555     6.38447
17      99.015     66.2061     6.33804
18      27.791     64.0719     6.34524
19     66.9704     64.2245     6.00393
20     95.8424     65.8054     5.91115
1     72.7743     72.7743           0
2     79.4082     76.0912     3.31696
3     77.9903     76.7243     2.01696
4     78.8841     77.2642       1.525
5     80.1941     77.8502     1.31861
6     74.9614     77.3687     1.17939
7     80.4737     77.8123     1.09101
8     79.8848     78.0714     0.97971
9     77.5883     78.0177    0.865689
10     81.9569     78.4116    0.868741
11     80.7987     78.6286    0.815221
12      81.872     78.8989    0.791753
13     76.5302     78.7167    0.750753
14     78.3941     78.6937    0.695444
15     79.7054     78.7611    0.650928
16     78.4446     78.7413    0.609208
17     79.9509     78.8125    0.576658
18      79.819     78.8684    0.546546
19     83.8098     79.1285    0.578711
20     78.4665     79.0954    0.550011
