0.5 -0.974083 0.000571995 0.329849 0.00467505 79.0954 0.550011 0.0319884 0.033289
0.6 -0.935458 0.00040758 0.421921 0.0018695 44.476 0.321878 -0.00892364 0.0147668
0.7 -0.892286 0.000403149 0.429779 0.00182395 24.5889 0.193207 -0.0101212 0.00710238
0.8 -0.848531 0.000304314 0.438501 0.00148843 15.1532 0.0818876 -0.00206574 0.00542156
0.9 -0.804635 0.000215894 0.434666 0.000858924 10.2035 0.0531331 -0.00212308 0.00278752
1 -0.761258 0.000481683 0.416473 0.00223046 7.30592 0.100127 0.0008062 0.00654383
1.2 -0.682739 0.000497303 0.372856 0.00177669 4.40378 0.0397589 0.0026304 0.0039813
1.4 -0.614064 0.000364453 0.316369 0.00109697 2.98288 0.0211479 -0.0006106 0.00275643
1.6 -0.55451 0.000402211 0.270879 0.00101698 2.18252 0.0107961 0.0008282 0.00221156
1.8 -0.504365 0.000427699 0.229611 0.00116338 1.67646 0.00867802 0.0012078 0.00197059
2 -0.461711 0.000362257 0.197109 0.000834337 1.34702 0.00632131 -5.02e-05 0.00179555
