0.5 -1.00325 0.000455521 0.265313 0.00647059 90.2706 0.359086 0.885609 0.00682313
0.6 -0.964737 0.000869885 0.486813 0.00375639 56.9265 0.506556 0.674984 0.0109354
0.7 -0.912501 0.000502204 0.521656 0.00186741 31.8684 0.190191 0.440139 0.00611503
0.8 -0.861536 0.000409856 0.498459 0.00195039 18.6079 0.0985277 0.293474 0.00375769
0.9 -0.812916 0.00030191 0.467352 0.00116982 11.83 0.0627391 0.200598 0.00269861
1 -0.766912 0.000458651 0.436897 0.00278611 8.16455 0.133136 0.14803 0.0066618
1.2 -0.685782 0.00037025 0.379616 0.0016695 4.63993 0.0452711 0.089407 0.00406158
1.4 -0.615262 0.000299449 0.321143 0.00112509 3.06286 0.023811 0.0596958 0.00278581
1.6 -0.555558 0.000413221 0.273132 0.00113443 2.21671 0.0126743 0.0437596 0.00229738
1.8 -0.505157 0.000402423 0.231409 0.0010378 1.70058 0.0100054 0.034581 0.00208436
2 -0.462559 0.00037388 0.197748 0.000824597 1.35985 0.00607914 0.027195 0.00185087
