5.63301 3.35449 1.7859 0.934991 0.46296 0.135001 0.0193192 -0.0463035 -0.0872068 -0.150836 -0.167468 -0.219133 -0.221091 -0.250585 -0.296619 -0.264534 -0.253402 -0.302321 -0.255104 -0.239596 -0.233394 -0.191542 -0.168337 -0.0460943 -0.00900294 
5.45259 3.4842 2.02298 1.07073 0.392952 0.101233 -0.0685173 -0.134791 -0.165803 -0.197565 -0.211142 -0.255216 -0.285952 -0.279908 -0.279296 -0.334498 -0.29655 -0.267281 -0.259152 -0.216105 -0.139823 -0.175495 0.0198572 0.170303 0.0538569 
5.53302 3.34358 2.15982 1.16192 0.536178 0.180166 -0.0507314 -0.168991 -0.226514 -0.258017 -0.294454 -0.276651 -0.306474 -0.330013 -0.314181 -0.270983 -0.276164 -0.226355 -0.256305 -0.189938 -0.21592 -0.0368318 -0.0227823 0.0328051 0.176993 
5.46399 3.43336 2.19299 1.14532 0.617096 0.175012 -0.0848616 -0.204797 -0.2481 -0.291601 -0.323708 -0.341977 -0.353882 -0.352253 -0.335292 -0.340708 -0.239309 -0.191228 -0.16109 -0.259261 -0.11639 0.0211839 0.0358427 0.105305 0.242366 
5.41762 3.41448 2.02566 1.28926 0.610362 0.302988 -0.0814224 -0.251695 -0.308089 -0.350363 -0.378807 -0.383085 -0.371997 -0.372129 -0.325367 -0.35574 -0.306621 -0.293172 -0.250562 -0.204428 -0.0919126 -0.0487969 0.0221276 0.200387 0.379492 
5.22612 3.54355 2.03429 1.32904 0.703725 0.211265 -0.0450696 -0.253673 -0.327721 -0.39896 -0.398351 -0.415541 -0.410874 -0.389163 -0.359084 -0.343028 -0.308242 -0.281289 -0.221739 -0.0708881 -0.0144075 -0.0272381 0.0290139 0.243999 0.349179 
5.18743 3.36845 2.05051 1.34793 0.658824 0.314509 -0.0755841 -0.192235 -0.368919 -0.415604 -0.422132 -0.438448 -0.432892 -0.391286 -0.319342 -0.308779 -0.253028 -0.186306 -0.124943 -0.149547 -0.017752 0.253507 0.137001 0.32434 0.53211 
5.04456 3.10051 1.98277 1.15377 0.688885 0.305649 -0.043212 -0.209623 -0.352465 -0.406923 -0.435413 -0.437124 -0.438169 -0.404798 -0.338639 -0.278976 -0.224729 -0.121015 -0.109772 0.0188654 0.0463896 0.112788 0.265944 0.579641 0.573272 
4.85425 3.16716 2.04328 1.33745 0.766823 0.28773 0.00109745 -0.226102 -0.343832 -0.409322 -0.4436 -0.440083 -0.415334 -0.377817 -0.311926 -0.231302 -0.213273 -0.21458 -0.12566 0.0674499 0.147618 0.398285 0.324574 0.609336 0.839937 
5.26116 3.31086 1.98977 1.24138 0.676635 0.261353 0.0310731 -0.198474 -0.360577 -0.418991 -0.431813 -0.441209 -0.401292 -0.341957 -0.296976 -0.265216 -0.211366 -0.12617 0.126555 0.218086 0.37153 0.315001 0.612106 0.731292 1.08103 
