0.5 -0.9746 0.000302166 0.325872 0.00267928 79.5086 0.29411 0.0419113 0.0327726
0.6 -0.935453 0.000339537 0.423579 0.00161636 44.5105 0.231814 0.0003681 0.0131257
0.7 -0.892385 0.000208016 0.431443 0.00117131 24.7215 0.116992 -0.0046631 0.00380291
0.8 -0.848468 0.000226997 0.439167 0.00109895 15.1943 0.064677 -0.00363228 0.0029618
0.9 -0.804693 0.00017685 0.436858 0.000900859 10.29 0.0341855 -0.00094486 0.00213187
1 -0.761899 0.000596944 0.419054 0.00252324 7.47158 0.0600148 -0.000131 0.00534305
1.2 -0.682579 0.000404963 0.366881 0.00167745 4.41625 0.0339548 -0.0051904 0.00317896
1.4 -0.612667 0.000434339 0.316661 0.00122526 2.93146 0.0183121 0.0007032 0.00269412
1.6 -0.554205 0.000464466 0.270107 0.00083709 2.17645 0.0106579 -0.0001328 0.00144951
1.8 -0.504414 0.000428414 0.228899 0.000486698 1.68243 0.0110512 0.0005 0.00111925
2 -0.462281 0.000415013 0.196931 0.000744586 1.35311 0.00801897 0.0004212 0.00139032
