0.02 0.994777 0.992137 0.989669 0.984164 0.997056 0.99486
0.03 0.989018 0.988263 0.985836 0.976387 0.995304 0.992589
0.04 0.989795 0.982768 0.980631 0.969528 0.994203 0.990675
0.05 0.985715 0.976584 0.97468 0.959851 0.9906 0.988492
0.06 0.984903 0.964786 0.970937 0.951799 0.99253 0.977244
0.07 0.970269 0.944589 0.967069 0.94419 0.989253 0.98438
0.08 0.976225 0.952415 0.961256 0.936549 0.988498 0.976635
0.09 0.97562 0.940209 0.955239 0.929397 0.985716 0.972603
0.1 0.96825 0.937015 0.950394 0.919028 0.985575 0.966086
0.11 0.963253 0.932743 0.945874 0.913015 0.98247 0.958128
0.12 0.961398 0.762542 0.943033 0.903565 0.980161 0.962284
0.13 0.949606 0.876013 0.938933 0.900748 0.981363 0.962161
0.14 0.961269 0.909391 0.934895 0.887318 0.977621 0.954533
0.15 0.954935 0.922078 0.928847 0.881597 0.975003 0.959617
0.16 0.930873 0.854425 0.922176 0.875923 0.964466 0.948066
0.17 0.875137 0.893647 0.916477 0.868464 0.972189 0.940988
0.18 0.908818 0.889778 0.912704 0.857965 0.959827 0.946986
0.19 0.887277 0.782175 0.909606 0.843627 0.975671 0.936827
0.2 0.896814 0.800105 0.904596 0.842881 0.964819 0.937797
0.21 0.834754 0.873496 0.899462 0.831931 0.967488 0.934525
0.22 0.919148 0.797412 0.894161 0.834528 0.956825 0.921672
0.23 0.899754 0.801015 0.891918 0.820705 0.951891 0.923008
0.24 0.814855 0.768307 0.8856 0.810817 0.940017 0.929104
0.25 0.91066 0.794362 0.878706 0.815394 0.948141 0.918549
0.26 0.914769 0.85196 0.876065 0.801882 0.943117 0.905883
0.27 0.891811 0.749038 0.873067 0.790403 0.95111 0.894884
0.28 0.90857 0.841933 0.870418 0.775857 0.950654 0.902372
0.29 0.863501 0.815549 0.859858 0.770935 0.95184 0.896699
0.3 0.861382 0.818225 0.857458 0.766177 0.945451 0.911016
0.31 0.827896 0.707817 0.858397 0.761629 0.944343 0.886462
0.32 0.853566 0.756737 0.844136 0.75986 0.922959 0.893624
0.33 0.87933 0.753065 0.850056 0.753368 0.931836 0.901295
0.34 0.823679 0.759727 0.841412 0.749155 0.927695 0.898291
0.35 0.893447 0.747762 0.829601 0.735803 0.932516 0.891387
0.36 0.837539 0.722725 0.825774 0.738571 0.925169 0.876436
0.37 0.829272 0.693866 0.822385 0.723545 0.916466 0.879574
0.38 0.71657 0.762708 0.820691 0.711923 0.930666 0.876494
0.39 0.822688 0.743026 0.82305 0.702608 0.918129 0.881488
0.4 0.749592 0.676202 0.813468 0.696297 0.912063 0.872549
0.41 0.790191 0.534431 0.810729 0.701369 0.920923 0.86832
0.42 0.748948 0.674763 0.805212 0.694334 0.922574 0.858019
0.43 0.617448 0.625052 0.801555 0.691594 0.9204 0.859205
0.44 0.780788 0.691232 0.799577 0.676392 0.919633 0.856963
0.45 0.844556 0.708285 0.796388 0.671851 0.918365 0.847099
0.46 0.780987 0.7309 0.786936 0.66901 0.914041 0.861472
0.47 0.779197 0.657932 0.784264 0.670835 0.899893 0.843153
0.48 0.643737 0.669445 0.778879 0.651003 0.899047 0.854891
0.49 0.650862 0.673607 0.771007 0.634367 0.896407 0.843253
0.5 0.752396 0.68692 0.763508 0.635655 0.905969 0.833706
0.51 0.543932 0.668523 0.762659 0.616904 0.890634 0.835242
0.52 0.789615 0.49366 0.761866 0.627507 0.898372 0.820293
0.53 0.643173 0.616574 0.758083 0.627596 0.894455 0.83589
0.54 0.69742 0.512503 0.751409 0.619523 0.886912 0.828122
0.55 0.682915 0.601906 0.748022 0.6048 0.90258 0.815755
0.56 0.76532 0.598492 0.743443 0.600663 0.884369 0.823675
0.57 0.761291 0.546208 0.743517 0.60057 0.889235 0.811092
0.58 0.735579 0.452352 0.73362 0.579686 0.890164 0.803017
0.59 0.635811 0.431758 0.720002 0.590466 0.894171 0.809765
0.6 0.744874 0.634371 0.730289 0.584211 0.891295 0.790167
0.61 0.728969 0.557484 0.717673 0.582179 0.885992 0.806702
0.62 0.520537 0.572332 0.72198 0.567793 0.876333 0.806805
0.63 0.723734 0.557548 0.710303 0.566448 0.880158 0.809849
0.64 0.695188 0.49397 0.72032 0.568558 0.878255 0.802119
0.65 0.66816 0.428487 0.702377 0.560895 0.863216 0.790851
0.66 0.72052 0.580328 0.698029 0.553168 0.869734 0.78239
0.67 0.610933 0.519114 0.698532 0.549292 0.879689 0.786275
0.68 0.310682 0.557444 0.705742 0.533591 0.882198 0.776901
0.69 0.57765 0.615143 0.70011 0.537333 0.867023 0.77799
0.7 0.650598 0.534269 0.678583 0.528367 0.863137 0.778543
0.71 0.706568 0.578433 0.672158 0.528547 0.858545 0.775718
0.72 0.466489 0.492906 0.679264 0.535668 0.86518 0.77728
0.73 0.658159 0.366563 0.672531 0.510018 0.848379 0.760928
0.74 0.73444 0.482556 0.662241 0.505601 0.853792 0.778759
0.75 0.703312 0.400315 0.669133 0.503364 0.857988 0.763404
0.76 0.684848 0.397274 0.661732 0.506702 0.857259 0.75889
0.77 0.500749 0.52013 0.654652 0.502258 0.860481 0.757996
0.78 0.503857 0.333202 0.657677 0.496484 0.852035 0.749768
0.79 0.560373 0.475335 0.647532 0.481897 0.860508 0.75733
0.8 0.679672 0.421516 0.655853 0.481078 0.841567 0.733793
0.81 0.700444 0.44077 0.645552 0.474103 0.840106 0.753579
0.82 0.577099 0.515452 0.649831 0.46971 0.836932 0.74201
0.83 0.529848 0.277689 0.64014 0.474617 0.840017 0.738216
